Brand,Model,Mileage,Transmission,Price,Year,Engine CC,Date Posted
Hyundai,Elantra,"102,000 km",Automatic,"1,375,000 EGP",2022,1400,2026-06-25
Seat,Leon,"44,000 km",Automatic,"650,000 EGP",2017,2000,2026-06-25
Nissan,Sentra,189 km,Automatic,"900,000 EGP",2013,1400,2026-06-25
Volkswagen,CC,"297,000 km",Automatic,"650,000 EGP",1998,2000,2026-06-25
Mercedes,E200,"26,000 km",Automatic,"2,750,000 EGP",2022,1500,2026-06-25
Mercedes,C200,"130,000 km",Automatic,"670,000 EGP",2021,1600,2026-06-25
Chery,Tiggo 3,"33,000 km",Automatic,"920,000 EGP",2025,1500,2026-06-25
Chery,Tiggo 7,"91,000 km",Automatic,"690,000 EGP",2021,1500,2026-06-25
MG,5,"200,000 km",Automatic,"2,150,000 EGP",2019,2000,2026-06-25
Volvo,XC 60,"212,000 km",Automatic,"550,000 EGP",2021,1600,2026-06-25
Citroen,C-Elysee,30 km,Automatic,"1,350,000 EGP",2024,1500,2026-06-25
Suzuki,Grand Vitara,"139,000 km",Automatic,"2,260,000 EGP",2019,2000,2026-06-25
BMW,520i,"250,000 km",Manual,"800,000 EGP",2012,2000,2026-06-25
BMW,318i,"132,000 km",Manual,"340,000 EGP",2016,1600,2026-06-25
Lada,Granta,"57,000 km",Automatic,"2,950,000 EGP",2025,"1,125",2026-06-25
ROX,1,"10,000 km",Automatic,"3,450,000 EGP",2025,1500,2026-06-25
Mercedes,C180,"3,300 km",Automatic,"1,250,000 EGP",2023,1500,2026-06-25
Chevrolet,Captiva,"84,500 km",Automatic,"1,030,000 EGP",2024,1500,2026-06-25
Chevrolet,Captiva,"48,000 km",Automatic,"1,050,000 EGP",2021,1500,2026-06-25
Jetour,X70,"56,000 km",Automatic,"1,550,000 EGP",2024,1400,2026-06-25
Volkswagen,T-Roc,"88,000 km",Automatic,"1,820,000 EGP",2018,1600,2026-06-25
Mercedes,C180,"71,000 km",Automatic,"1,550,000 EGP",2023,1400,2026-06-24
Skoda,Octavia,"200,000 km",Automatic,"1,000,000 EGP",2017,1500,2026-06-24
BMW,318i,"16,000 km",Automatic,"1,650,000 EGP",2021,1600,2026-06-24
Peugeot,508,"30,000 km",Automatic,"2,350,000 EGP",2023,1400,2026-06-24
Skoda,KODIAQ,"250,000 km",Automatic,"260,000 EGP",1992,1600,2026-06-24
Honda,Civic,"114,000 km",Automatic,"650,000 EGP",2016,1600,2026-06-24
Seat,Toledo,"77,000 km",Automatic,"750,000 EGP",2021,1600,2026-06-24
Fiat,Tipo,"131,000 km",Automatic,"1,300,000 EGP",2021,1600,2026-06-24
Peugeot,3008,"90,000 km",Automatic,"750,000 EGP",2020,1600,2026-06-24
Hyundai,Elantra HD,"24,000 km",Automatic,"4,750,000 EGP",2022,3600,2026-06-24
Jeep,Grand Cherokee,"29,000 km",Automatic,"2,100,000 EGP",2023,1500,2026-06-24
Mini,Countryman,"100,000 km",Automatic,"490,000 EGP",2011,1600,2026-06-24
Peugeot,308,"138,000 km",Automatic,"850,000 EGP",2016,1600,2026-06-24
Toyota,Corolla,"130,000 km",Automatic,"1,499,000 EGP",2021,1400,2026-06-24
Skoda,Octavia A8,"27,000 km",Automatic,"4,850,000 EGP",2022,3600,2026-06-24
Jeep,Grand Cherokee,"254,800 km",Automatic,"450,000 EGP",2008,1600,2026-06-24
Nissan,Altima,"27,000 km",Automatic,"999,999 EGP",2024,1500,2026-06-24
GAC,EMKOO,"103,000 km",Automatic,"2,850,000 EGP",2017,4400,2026-06-24
BMW,X6,"96,000 km",Automatic,"700,000 EGP",2021,1500,2026-06-24
MG,5,"250,000 km",Manual,"250,000 EGP",2000,1800,2026-06-24
Seat,Ibiza,"130,000 km",Automatic,"1,600,000 EGP",2015,3600,2026-06-24
Jeep,Grand Cherokee,"8,000 km",Automatic,"1,450,000 EGP",2026,1600,2026-06-24
Chery,Tiggo 8 Pro Max,"105,000 km",Automatic,"2,470,000 EGP",2018,1600,2026-06-24
Mercedes,E 180,"98,000 km",Automatic,"950,000 EGP",2018,1600,2026-06-24
Opel,Grand Land,"102,000 km",Automatic,"1,700,000 EGP",2016,1600,2026-06-24
Mercedes,C180,"40,000 km",Automatic,"1,750,000 EGP",2021,2000,2026-06-24
Skoda,Octavia A8,"89,000 km",Automatic,"2,650,000 EGP",2023,1500,2026-06-24
Mercedes,C180,10 km,Automatic,"1,590,000 EGP",2027,1500,2026-06-24
Chery,Tiggo 8 Pro Max,"850,000 km",Automatic,"4,000,000 EGP",2015,5000,2026-06-24
Land Rover,Range Rover,10 km,Automatic,"1,250,000 EGP",2027,1500,2026-06-24
Forthing,T5 Evo,"52,000 km",Automatic,"3,600,000 EGP",2019,2000,2026-06-24
Range Rover,Velar,"317,000 km",Manual,"1,950,000 EGP",2007,4200,2026-06-24
Toyota,Land cruiser,"250,000 km",Manual,"400,000 EGP",2016,1500,2026-06-24
BYD,L3,"198,000 km",Automatic,"390,000 EGP",2006,1600,2026-06-24
Nissan,Sunny,"252,000 km",Automatic,"1,500,000 EGP",2021,1600,2026-06-24
Kia,Sportage,350 km,Manual,"250,000 EGP",1999,1500,2026-06-24
Daewoo,Lanos,"130,000 km",Automatic,"595,000 EGP",2018,1000,2026-06-24
Ford,Focus,"110,000 km",Automatic,"980,000 EGP",2022,1500,2026-06-24
MG,HS,"90,000 km",Automatic,"7,000,000 EGP",2019,2000,2026-06-24
Land Rover,Discovery Sport,"385,000 km",Manual,"310,000 EGP",2011,1500,2026-06-24
Chevrolet,Aveo,"245,000 km",Automatic,"500,000 EGP",2016,1600,2026-06-24
Chevrolet,Cruze,"85,000 km",Automatic,"4,500,000 EGP",2020,2000,2026-06-24
Land Rover,Range Rover,105 km,Automatic,"880,000 EGP",2023,1500,2026-06-24
Chery,Tiggo 7,400 km,Automatic,"9,495,000 EGP",2025,2000,2026-06-24
Mercedes,V 250,"34,000 km",Automatic,"2,400,000 EGP",2025,1400,2026-06-24
Volkswagen,Tiguan,"40,000 km",Automatic,"725,000 EGP",2015,1500,2026-06-23
Toyota,Yaris,"180,000 km",Automatic,"750,000 EGP",2016,1500,2026-06-23
BMW,218i,"10,700 km",Automatic,"1,350,000 EGP",2016,1600,2026-06-23
Opel,Insignia,"55,000 km",Automatic,"1,100,000 EGP",2024,1500,2026-06-23
Jetour,X70,"125,000 km",Automatic,"750,000 EGP",2017,1400,2026-06-23
Alfa Romeo,Mito,"30,000 km",Automatic,"890,000 EGP",2023,1500,2026-06-23
Nissan,Sentra,"20,000 km",Automatic,"1,615,000 EGP",2024,1600,2026-06-23
Opel,Grand Land,"17,000 km",Automatic,"1,800,000 EGP",2025,1400,2026-06-23
Cupra,Leon,"24,000 km",Automatic,"1,750,000 EGP",2023,1600,2026-06-23
Peugeot,3008,"190,000 km",Automatic,"475,000 EGP",2006,1600,2026-06-23
Skoda,Octavia,"57,000 km",Automatic,"850,000 EGP",2022,1000,2026-06-23
Ford,Ecosport,"214,000 km",Manual,"530,000 EGP",2013,1600,2026-06-23
Skoda,Rapid,"145,000 km",Automatic,"375,000 EGP",2015,1500,2026-06-23
Brilliance,FRV,180 km,Manual,"160,000 EGP",1993,1300,2026-06-23
Suzuki,Swift,"207,000 km",Automatic,"650,000 EGP",2016,1400,2026-06-23
Opel,Mokka,"75,000 km",Automatic,"1,875,000 EGP",2021,1400,2026-06-23
Audi,Q3,"233,000 km",Automatic,"1,900,000 EGP",2011,2500,2026-06-23
Porsche,Cayenne S,"125,000 km",Automatic,"750,000 EGP",2017,1600,2026-06-23
Peugeot,508,"160,000 km",Automatic,"1,350,000 EGP",2015,2000,2026-06-23
BMW,320i,"255,000 km",Automatic,"875,000 EGP",2016,1600,2026-06-23
Opel,Cascada,"87,000 km",Automatic,"1,800,000 EGP",2018,1600,2026-06-23
Mercedes,C180,"190,000 km",Automatic,"550,000 EGP",2017,1200,2026-06-23
Renault,Captur,"240,000 km",Automatic,"1,200,000 EGP",2019,1400,2026-06-23
Skoda,Superb,"500,000 km",Automatic,"650,000 EGP",2003,2500,2026-06-23
Mercedes,E240,"15,000 km",Automatic,"8,500,000 EGP",2023,3500,2026-06-23
Mercedes,SL55 AMG,"98,000 km",Automatic,"800,000 EGP",2021,1200,2026-06-23
Renault,Kadjar,"199,500 km",Automatic,"775,000 EGP",2017,1400,2026-06-23
Jeep,Renegade,"83,050 km",Automatic,"690,000 EGP",2015,1500,2026-06-23
Renault,Fluence,"192,000 km",Automatic,"625,000 EGP",2020,1400,2026-06-23
Opel,Astra,"236,000 km",Automatic,"1,500,000 EGP",2015,1600,2026-06-23
Mercedes,C180,"100,000 km",Automatic,"1,600,000 EGP",2021,1600,2026-06-23
Hyundai,Tucson,"74,000 km",Automatic,"1,520,000 EGP",2021,1600,2026-06-23
Kia,Sportage,"269,000 km",Automatic,"6,000,000 EGP",2018,5700,2026-06-23
Toyota,Land cruiser,"100,000 km",Automatic,"850,000 EGP",2024,1600,2026-06-23
Nissan,Sentra,"100,000 km",Automatic,"520,000 EGP",2010,1600,2026-06-23
Hyundai,Accent,"50,000 km",Automatic,"700,000 EGP",2025,1600,2026-06-23
Skoda,KODIAQ,"249,000 km",Automatic,"470,000 EGP",2012,1600,2026-06-23
Hyundai,Accent RB,"80,000 km",Automatic,"1,925,000 EGP",2018,3500,2026-06-23
Mitsubishi,Pajero,"90,000 km",Automatic,"570,000 EGP",2021,1500,2026-06-23
Chevrolet,Optra,"160,000 km",Automatic,"990,000 EGP",2020,1600,2026-06-23
Peugeot,3008,"280,000 km",Automatic,"520,000 EGP",2007,2500,2026-06-23
Nissan,X-Trail,"75,000 km",Automatic,"1,850,000 EGP",2020,1600,2026-06-23
Mercedes,GLA 200,"118,000 km",Automatic,"1,080,000 EGP",2020,1600,2026-06-23
Citroen,C5,"260,000 km",Manual,"380,000 EGP",2015,1600,2026-06-23
Renault,Sandero,"97,000 km",Automatic,"1,900,000 EGP",2019,2000,2026-06-23
Jaguar,E-PACE,"124,000 km",Automatic,"1,260,000 EGP",2020,1600,2026-06-22
Kia,Sportage,"40,000 km",Automatic,"2,750,000 EGP",2023,1500,2026-06-22
Mercedes,C180,"90,000 km",Automatic,"1,280,000 EGP",2021,1600,2026-06-22
Peugeot,3008,"260,000 km",Automatic,"440,000 EGP",2018,1600,2026-06-22
Faw,X40,"48,000 km",Automatic,"1,550,000 EGP",2024,1600,2026-06-22
Citroen,C5 Aircross,"50,000 km",Automatic,"3,250,000 EGP",2021,2000,2026-06-22
Mercedes,E200,"146,000 km",Automatic,"1,750,000 EGP",2019,1400,2026-06-22
Audi,A4,"129,000 km",Automatic,"1,220,000 EGP",2022,1600,2026-06-22
Toyota,Corolla,"200,000 km",Automatic,"730,000 EGP",2015,1500,2026-06-22
Ford,Kuga,"10,000 km",Automatic,"1,835,000 EGP",2024,1500,2026-06-22
Mercedes,C180,"138,000 km",Automatic,"280,000 EGP",2006,1600,2026-06-22
Daewoo,Nubira,"125,000 km",Automatic,"470,000 EGP",2007,1600,2026-06-22
Hyundai,Matrix,"325,000 km",Automatic,"280,000 EGP",1998,1300,2026-06-22
Mitsubishi,Lancer,"39,000 km",Automatic,"2,700,000 EGP",2023,1500,2026-06-22
Mercedes,C180,"100,000 km",Automatic,"1,300,000 EGP",2021,1400,2026-06-22
Volkswagen,Passat,"50,500 km",Automatic,"1,855,000 EGP",2023,1600,2026-06-22
Kia,Sportage,"39,000 km",Automatic,"8,500,000 EGP",2021,3000,2026-06-22
Mercedes,S500,"3,500 km",Automatic,"2,250,000 EGP",2026,1400,2026-06-22
Cupra,Terramar,"60,000 km",Automatic,"3,550,000 EGP",2025,4000,2026-06-22
Toyota,Fortuner,"80,000 km",Automatic,"985,000 EGP",2018,1200,2026-06-22
Seat,Leon,"250,000 km",Automatic,"475,000 EGP",2005,2000,2026-06-22
BMW,318i,"145,000 km",Automatic,"635,000 EGP",2019,1600,2026-06-22
Nissan,Sentra,"60,000 km",Automatic,"1,290,000 EGP",2022,1600,2026-06-22
Kia,Cerato,"2,004 km",Automatic,"750,000 EGP",2004,2400,2026-06-22
Toyota,Previa,"68,000 km",Automatic,"2,120,000 EGP",2024,1400,2026-06-22
Volkswagen,Tiguan,"15,000 km",Automatic,"420,000 EGP",2025,1500,2026-06-22
MG,HS,"2,000 km",Automatic,"3,400,000 EGP",2023,4000,2026-06-22
Toyota,Fortuner,"101,000 km",Automatic,"550,000 EGP",2015,1500,2026-06-22
"550,000 EGP",Chevrolet Cruze 2015,"19,000 km",Automatic,"2,150,000 EGP",2025,1600,2026-06-22
Chevrolet,Cruze,"150,000 km",Manual,"105,000 EGP",2000,1400,2026-06-22
Kia,Sportage,70 km,Manual,"270,000 EGP",1990,2000,2026-06-22
Fiat,131,"115,000 km",Automatic,"1,425,000 EGP",2021,1600,2026-06-22
BMW,M3,"25,000 km",Automatic,"900,000 EGP",2025,1500,2026-06-22
Hyundai,Tucson,"287,000 km",Automatic,"1,500,000 EGP",2015,1600,2026-06-22
MG,5,"12,000 km",Automatic,"1,680,000 EGP",2025,1600,2026-06-22
Mercedes,C180,"7,000 km",Automatic,"860,000 EGP",2026,1500,2026-06-22
Toyota,Corolla,"76,000 km",Automatic,"1,300,000 EGP",2018,1500,2026-06-22
BAIC,U5 Plus,"40,000 km",Automatic,"1,800,000 EGP",2025,1400,2026-06-22
BMW,318i,"182,433 km",Manual,"340,000 EGP",2012,1500,2026-06-22
Skoda,Octavia,"181,000 km",Manual,"350,000 EGP",2007,1600,2026-06-22
Chevrolet,Lanos,"60,000 km",Manual,"700,000 EGP",2024,1400,2026-06-22
Opel,Vectra,"170,000 km",Automatic,"820,000 EGP",2013,1600,2026-06-22
Fiat,Tipo,"41,000 km",Automatic,"7,700,000 EGP",2024,3000,2026-06-22
Mercedes,B 200,"53,000 km",Automatic,"1,150,000 EGP",2024,1200,2026-06-22
Porsche,Cayenne,"20,000 km",Automatic,"7,400,000 EGP",2023,1500,2026-06-22
Citroen,C4 X,125 km,Automatic,"500,000 EGP",2019,1500,2026-06-21
Mercedes,C200,"20,000 km",Automatic,"3,500,000 EGP",2023,1500,2026-06-21
Chevrolet,Aveo,"30,000 km",Manual,"4,000,000 EGP",2024,2000,2026-06-21
Mercedes,C200,"183,000 km",Automatic,"2,450,000 EGP",2018,2000,2026-06-21
Mercedes,sprinter,"46,000 km",Automatic,"13,500,000 EGP",2024,4000,2026-06-21
Mercedes,E300,"78,000 km",Automatic,"2,450,000 EGP",2018,3000,2026-06-21
Mercedes,G 63,"225,000 km",Automatic,"830,000 EGP",2015,1600,2026-06-21
BMW,340i,"100,000 km",Automatic,"1,600,000 EGP",2021,1300,2026-06-21
Skoda,Octavia,"90,000 km",Automatic,"1,880,000 EGP",2015,1600,2026-06-21
Mercedes,B 180,"268,000 km",Automatic,"1,000,000 EGP",2012,2000,2026-06-21
Mercedes,C180,"181,000 km",Automatic,"1,400,000 EGP",2016,2000,2026-06-21
BMW,X3,"132,000 km",Automatic,"470,000 EGP",2013,1600,2026-06-21
BMW,X3,"167,559 km",Automatic,"900,000 EGP",2016,1400,2026-06-21
Renault,Fluence,"288,000 km",Automatic,"650,000 EGP",2015,1500,2026-06-21
Jeep,Renegade,"160,000 km",Automatic,"875,000 EGP",2021,1600,2026-06-21
Daihatsu,Terios,213 km,Automatic,"400,000 EGP",2015,1500,2026-06-21
Hyundai,Elantra CN7,"143,000 km",Automatic,"1,050,000 EGP",2021,1200,2026-06-21
Brilliance,FRV Cross,"200,000 km",Manual,"430,000 EGP",2010,1600,2026-06-21
Peugeot,2008,450 km,Manual,"145,000 EGP",1995,1600,2026-06-21
Citroen,C4 Grand Picasso,"220,000 km",Automatic,"640,000 EGP",2012,2000,2026-06-21
Peugeot,405,"245,000 km",Automatic,"510,000 EGP",2014,1600,2026-06-21
Skoda,Fantasia,"20,000 km",Automatic,"1,450,000 EGP",2024,1500,2026-06-21
Opel,Astra,"132,000 km",Automatic,"1,500,000 EGP",2021,2000,2026-06-21
Kia,XCeed,"249,000 km",Manual,"560,000 EGP",2008,1600,2026-06-21
Volvo,XC 40,"145,000 km",Automatic,"610,000 EGP",2021,1200,2026-06-21
BMW,316i,"275,000 km",Automatic,"1,000,000 EGP",2015,1600,2026-06-21
Suzuki,Swift,"28,000 km",Automatic,"840,000 EGP",2026,1500,2026-06-21
BMW,316i,"192,700 km",Manual,"420,000 EGP",2006,1300,2026-06-21
Kaiyi,X3 Pro,"20,500 km",Automatic,"3,200,000 EGP",2022,1500,2026-06-21
Mitsubishi,Lancer,"120,000 km",Automatic,"890,000 EGP",2002,1800,2026-06-21
Mercedes,C200,"85,000 km",Automatic,"1,700,000 EGP",2024,1600,2026-06-21
Audi,TT,"173,000 km",Automatic,"1,080,000 EGP",2020,1600,2026-06-21
Peugeot,408,93 km,Automatic,"850,000 EGP",2020,1200,2026-06-21
Toyota,Corolla,"144,000 km",Automatic,"600,000 EGP",2019,1300,2026-06-21
Renault,Kadjar,"3,900 km",Automatic,"4,150,000 EGP",2025,1500,2026-06-21
Geely,X 7,"193,000 km",Automatic,"750,000 EGP",2013,1600,2026-06-21
Mercedes,C200,"193,000 km",Automatic,"800,000 EGP",2010,3700,2026-06-21
Mercedes,B 200,"438,500 km",Automatic,"680,000 EGP",2012,1600,2026-06-21
Jeep,Cherokee,"66,000 km",Automatic,"960,000 EGP",2020,1600,2026-06-21
Kia,Carens,"340,000 km",Automatic,"295,000 EGP",2010,1600,2026-06-21
Mazda,3,"240,000 km",Automatic,"580,000 EGP",2010,1600,2026-06-21
Brilliance,FSV,"32,000 km",Automatic,"8,000,000 EGP",2023,3000,2026-06-21
Kia,Cerato,"83,000 km",Automatic,"720,000 EGP",2022,1500,2026-06-21
Mercedes,S450,"181,000 km",Automatic,"1,170,000 EGP",2021,1600,2026-06-21
Suzuki,Ciaz,"147,000 km",Automatic,"1,480,000 EGP",2020,1400,2026-06-21
Hyundai,Elantra CN7,"185,000 km",Automatic,"930,000 EGP",2017,1600,2026-06-20
Volkswagen,Tiguan,"98,000 km",Automatic,"3,500,000 EGP",2017,3000,2026-06-20
Hyundai,Creta,"12,000 km",Automatic,"3,250,000 EGP",2022,1500,2026-06-20
Porsche,Cayenne S,"51,300 km",Automatic,"1,340,000 EGP",2025,1500,2026-06-20
Mercedes,C180,"100,000 km",Manual,"150,000 EGP",1998,1300,2026-06-20
MG,RX5 Plus,"98,000 km",Automatic,"780,000 EGP",2018,1000,2026-06-20
Ford,Escort,"36,000 km",Automatic,"16,750,000 EGP",2025,4400,2026-06-20
Ford,Focus,"210,000 km",Automatic,"1,300,000 EGP",2014,1600,2026-06-20
Land Rover,Range Rover,"13,500 km",Automatic,"1,450,000 EGP",2022,1600,2026-06-20
Mercedes,CLA 200,"220,000 km",Automatic,"1,450,000 EGP",2019,1400,2026-06-20
Kia,Sportage,"27,000 km",Automatic,"1,925,000 EGP",2023,1500,2026-06-20
Audi,A5,"300,000 km",Automatic,"450,000 EGP",2012,1600,2026-06-20
Honda,Accord,"400,000 km",Automatic,"340,000 EGP",1999,1800,2026-06-20
Peugeot,408,"182,000 km",Automatic,"270,000 EGP",2003,1600,2026-06-20
Mercedes,C180,"19,000 km",Automatic,"950,000 EGP",2025,1500,2026-06-20
Opel,Astra,"208,000 km",Manual,"255,000 EGP",2016,1600,2026-06-20
MG,5,"3,000 km",Automatic,"1,250,000 EGP",2025,1500,2026-06-20
Lada,Granta,"80,000 km",Manual,"1,100,000 EGP",2015,1800,2026-06-20
Hyundai,Elantra CN7,"22,000 km",Automatic,"3,450,000 EGP",2023,1500,2026-06-20
Honda,Civic,"154,000 km",Automatic,"750,000 EGP",2018,1600,2026-06-20
Mercedes,C200,"32,000 km",Automatic,"2,100,000 EGP",2025,1600,2026-06-20
Nissan,Sentra,"209,000 km",Automatic,"480,000 EGP",2013,1600,2026-06-20
Kia,Sportage,"115,000 km",Automatic,"1,700,000 EGP",2021,1600,2026-06-20
Opel,Astra,"136,000 km",Manual,"390,000 EGP",2017,1500,2026-06-20
Peugeot,5008,"65,000 km",Automatic,"2,500,000 EGP",2023,450,2026-06-20
Chevrolet,Lanos,"30,000 km",Automatic,"2,800,000 EGP",2025,1400,2026-06-20
Mercedes,EQB 300,"280,000 km",Automatic,"470,000 EGP",2018,1500,2026-06-20
Skoda,KODIAQ,"70,000 km",Automatic,"4,100,000 EGP",2024,3600,2026-06-20
Nissan,Sunny,152 km,Automatic,"1,650,000 EGP",2014,5700,2026-06-20
Jeep,Grand Cherokee,"112,000 km",Automatic,"1,150,000 EGP",2019,1500,2026-06-20
Jeep,Grand Cherokee,"230,000 km",Manual,"800,000 EGP",2008,1400,2026-06-20
Opel,Insignia,"40,000 km",Automatic,"4,380,000 EGP",2024,2000,2026-06-20
Volkswagen,Tiguan,"190,000 km",Manual,"330,000 EGP",2018,1500,2026-06-20
Porsche,Macan,"78,000 km",Automatic,"700,000 EGP",2022,1600,2026-06-20
Haima,M3,163 km,Automatic,"800,000 EGP",2016,1400,2026-06-20
Citroen,C-Elysee,"33,500 km",Automatic,"2,850,000 EGP",2022,1500,2026-06-20
Jeep,Renegade,"213,000 km",Automatic,"900,000 EGP",2009,1600,2026-06-20
Mercedes,C200,"120,000 km",Automatic,"1,150,000 EGP",2020,1500,2026-06-20
Mercedes,C180,"499,000 km",Manual,"225,000 EGP",2005,1600,2026-06-20
Toyota,Rush,"83,000 km",Automatic,"1,100,000 EGP",2021,1200,2026-06-20
